Country,Year,GDP (constant 2015 US$),Gross fixed capital formation (constant 2015 US$),Population,Hours per Person,Hours per Year,GDP per Hour,Capital,Capital_Previous_Year
Austria,1996,2.73E+11,71295172525,7959017,"1,683",13395025611,20.38125743,1.32E+11,68988476364
Austria,1997,2.79E+11,71641106440,7968041,"1,691",13473957331,20.69664817,1.88E+11,1.32E+11
Austria,1998,2.89E+11,74041098211,7976789,"1,671",13329214419,21.65215385,2.39E+11,1.88E+11
Austria,1999,2.99E+11,75085403920,7992324,"1,675",13387142700,22.3694746,2.86E+11,2.39E+11
Austria,2000,3.09E+11,79212568861,8011566,"1,675",13419373050,23.02751394,3.31E+11,2.86E+11
Austria,2001,3.13E+11,78414771398,8042293,"1,663",13374333259,23.40935287,3.69E+11,3.31E+11
Austria,2002,3.18E+11,75925035566,8081957,"1,661",13424130577,23.66870717,4.01E+11,3.69E+11
Austria,2003,3.21E+11,78905329208,8121423,"1,652",13416590796,23.9523539,4.32E+11,4.01E+11
Austria,2004,3.3E+11,79811284207,8171966,"1,655",13524603730,24.37059257,4.6E+11,4.32E+11
Austria,2005,3.37E+11,80122566924,8227829,"1,632",13427816928,25.11581692,4.85E+11,4.6E+11
Austria,2006,3.48E+11,81191066671,8268641,"1,617",13370392497,26.04833381,5.08E+11,4.85E+11
Austria,2007,3.61E+11,84847724919,8295487,"1,606",13322552122,27.12878597,5.32E+11,5.08E+11
Austria,2008,3.67E+11,86349984292,8321496,"1,599",13306072104,27.55713836,5.54E+11,5.32E+11
Austria,2009,3.54E+11,80259416463,8343323,"1,558",12998897234,27.19671106,5.68E+11,5.54E+11
Austria,2010,3.6E+11,78274983869,8363404,"1,552",12980003008,27.72899966,5.78E+11,5.68E+11
Austria,2011,3.7E+11,83320835469,8391643,"1,557",13065788151,28.35336914,5.92E+11,5.78E+11
Austria,2012,3.73E+11,84383540230,8429991,"1,535",12940036185,28.80876873,6.05E+11,5.92E+11
Austria,2013,3.72E+11,85430081607,8479823,"1,520",12889330960,28.84958391,6.18E+11,6.05E+11
Austria,2014,3.75E+11,85152793255,8546356,"1,510",12904997560,29.03234085,6.29E+11,6.18E+11
Austria,2015,3.8E+11,86900730958,8642699,"1,495",12920835005,29.37473446,6.41E+11,6.29E+11
Austria,2016,3.88E+11,90841294692,8736668,"1,507",13166158676,29.43773742,6.55E+11,6.41E+11
Austria,2017,3.96E+11,94629426889,8797566,"1,498",13178753868,30.07786294,6.71E+11,6.55E+11
Austria,2018,4.06E+11,98806173742,8840521,"1,502",13278462542,30.59359647,6.89E+11,6.71E+11
Austria,2019,4.13E+11,1.03E+11,8879920,"1,510",13408679200,30.82818698,7.09E+11,6.89E+11
Austria,2020,3.87E+11,97526452698,8916864,"1,400",12483609600,31.0204988,7.22E+11,7.09E+11
Austria,2021,4.06E+11,1.03E+11,8955797,"1,437",12869480289,31.53333264,7.38E+11,7.22E+11
Austria,2022,4.27E+11,1.04E+11,9041851,"1,435",12975056185,32.92750494,7.54E+11,7.38E+11
Belgium,1981,2.41E+11,46855938740,9858982,"1,683",16596610299,14.53284249,95700000000,55489690964
Belgium,1982,2.43E+11,44959244206,9856303,"1,669",16450169707,14.74945314,1.29E+11,95700000000
Belgium,1983,2.43E+11,42592169463,9855520,"1,675",16507010448,14.74450112,1.56E+11,1.29E+11
Belgium,1984,2.49E+11,43544731769,9855372,"1,699",16744277028,14.89407422,1.81E+11,1.56E+11
Belgium,1985,2.54E+11,45443111654,9858308,"1,705",16808415140,15.08232136,2.05E+11,1.81E+11
Belgium,1986,2.58E+11,46891343296,9861823,"1,685",16617171755,15.53397932,2.27E+11,2.05E+11
Belgium,1987,2.64E+11,49192666087,9870234,"1,670",16482303757,16.02233547,2.49E+11,2.27E+11
Belgium,1988,2.77E+11,57101459260,9901664,"1,658",16415968746,16.84690629,2.76E+11,2.49E+11
Belgium,1989,2.86E+11,63715444233,9937697,"1,649",16386268583,17.4629479,3.07E+11,2.76E+11
Belgium,1990,2.95E+11,69162749772,9967379,"1,663",16574754539,17.80601406,3.39E+11,3.07E+11
Belgium,1991,3.01E+11,66279774835,10004486,"1,626",16265293339,18.47739628,3.65E+11,3.39E+11
Belgium,1992,3.05E+11,66971014680,10045158,"1,603",16099374727,18.95356244,3.88E+11,3.65E+11
Belgium,1993,3.02E+11,65281691433,10084475,"1,559",15717662735,19.22712332,4.07E+11,3.88E+11
Belgium,1994,3.12E+11,65524468387,10115603,"1,559",15766178836,19.78650163,4.23E+11,4.07E+11
