Country,Year,GDP (constant 2015 US$),Gross fixed capital formation (constant 2015 US$),Population,Hours per Person per Year,Hours per Year,GDP per Hour,Capital,Capital_Previous_Year
UK,1981,1.31E+12,1.83E+11,56333829,"1,567",88275110043,14.89011013,3.6E+11,2.01E+11
UK,1982,1.34E+12,1.94E+11,56313641,"1,581",89031866421,15.05806332,5.11E+11,3.6E+11
UK,1983,1.4E+12,2.04E+11,56332848,"1,568",88329905664,15.81851222,6.54E+11,5.11E+11
UK,1984,1.43E+12,2.23E+11,56422072,"1,583",89316139976,15.99881849,7.99E+11,6.54E+11
UK,1985,1.49E+12,2.32E+11,56550268,"1,613",91215582284,16.31538464,9.35E+11,7.99E+11
UK,1986,1.54E+12,2.37E+11,56681396,"1,615",91540454540,16.76964826,1.06E+12,9.35E+11
UK,1987,1.62E+12,2.6E+11,56802050,"1,605",91167290250,17.74633437,1.19E+12,1.06E+12
UK,1988,1.71E+12,2.98E+11,56928327,"1,642",93476312934,18.30013438,1.35E+12,1.19E+12
UK,1989,1.75E+12,3.16E+11,57076711,"1,631",93092115641,18.84931178,1.5E+12,1.35E+12
UK,1990,1.77E+12,3.09E+11,57247586,"1,617",92569346562,19.09484887,1.63E+12,1.5E+12
UK,1991,1.75E+12,2.9E+11,57424897,"1,615",92741208655,18.84921446,1.73E+12,1.63E+12
UK,1992,1.76E+12,2.92E+11,57580402,"1,583",91149776366,19.25523366,1.81E+12,1.73E+12
UK,1993,1.8E+12,2.97E+11,57718614,"1,577",91022254278,19.76230467,1.89E+12,1.81E+12
UK,1994,1.87E+12,3.16E+11,57865745,"1,586",91775071570,20.35402279,1.98E+12,1.89E+12
UK,1995,1.92E+12,3.31E+11,58019030,"1,586",92018181580,20.8141832,2.07E+12,1.98E+12
UK,1996,1.96E+12,3.46E+11,58166950,"1,586",92252782700,21.29730649,2.17E+12,2.07E+12
UK,1997,2.06E+12,3.41E+11,58316954,"1,586",92490689044,22.2886448,2.25E+12,2.17E+12
UK,1998,2.13E+12,3.61E+11,58487141,"1,582",92526657062,23.03809209,2.34E+12,2.25E+12
UK,1999,2.2E+12,3.67E+11,58682466,"1,572",92248836552,23.81417586,2.43E+12,2.34E+12
UK,2000,2.29E+12,3.88E+11,58892514,"1,558",91754536812,24.98196186,2.53E+12,2.43E+12
UK,2001,2.35E+12,3.96E+11,59119673,"1,562",92344929226,25.46086553,2.62E+12,2.53E+12
UK,2002,2.39E+12,4.04E+11,59370479,"1,543",91608649097,26.12636578,2.71E+12,2.62E+12
UK,2003,2.47E+12,4.14E+11,59647577,"1,534",91499383118,26.98214225,2.8E+12,2.71E+12
UK,2004,2.53E+12,4.25E+11,59987905,"1,534",92021446270,27.48849786,2.89E+12,2.8E+12
UK,2005,2.6E+12,4.43E+11,60401206,"1,544",93259462064,27.86478478,2.98E+12,2.89E+12
UK,2006,2.66E+12,4.55E+11,60846820,"1,536",93460715520,28.46672898,3.08E+12,2.98E+12
UK,2007,2.73E+12,4.75E+11,61322463,"1,541",94497915483,28.89329702,3.19E+12,3.08E+12
UK,2008,2.72E+12,4.6E+11,61806995,"1,525",94255667375,28.89548568,3.26E+12,3.19E+12
UK,2009,2.6E+12,4.03E+11,62276270,"1,516",94410825320,27.51506062,3.28E+12,3.26E+12
UK,2010,2.66E+12,4.22E+11,62766365,"1,507",94588912055,28.07659787,3.3E+12,3.28E+12
UK,2011,2.69E+12,4.23E+11,63258810,"1,515",95837097150,28.02637822,3.33E+12,3.3E+12
UK,2012,2.73E+12,4.3E+11,63700215,"1,531",97525029165,27.9569045,3.36E+12,3.33E+12
UK,2013,2.78E+12,4.44E+11,64128273,"1,533",98308642509,28.23325272,3.4E+12,3.36E+12
UK,2014,2.86E+12,4.75E+11,64602298,"1,542",99616743516,28.75261859,3.47E+12,3.4E+12
UK,2015,2.93E+12,5.09E+11,65116219,"1,525",99302233975,29.48484665,3.56E+12,3.47E+12
UK,2016,2.98E+12,5.35E+11,65611593,"1,541",1.01E+11,29.51490387,3.67E+12,3.56E+12
UK,2017,3.06E+12,5.54E+11,66058859,"1,536",1.01E+11,30.19178458,3.78E+12,3.67E+12
UK,2018,3.11E+12,5.51E+11,66460344,"1,536",1.02E+11,30.43108602,3.88E+12,3.78E+12
UK,2019,3.16E+12,5.63E+11,66836327,"1,537",1.03E+11,30.73145518,3.98E+12,3.88E+12
UK,2020,2.83E+12,5.08E+11,67081234,"1,364",91498803176,30.9500614,4.01E+12,3.98E+12
UK,2021,3.07E+12,5.47E+11,67026292,"1,498",1E+11,30.62341095,4.07E+12,4.01E+12
UK,2022,3.22E+12,5.75E+11,67791000,"1,531",1.04E+11,31.05893511,4.16E+12,4.07E+12
